Japanese,Kana,Romaji,Meaning,Part of speech,Chapter,Register,Usage note,Example 1 (Japanese),Example 1 (English),Example 2 (Japanese),Example 2 (English),Contrast,Misuse note
スマホを使う,すまほをつかう,sumaho o tsukau,to use a smartphone,collocation,Daily Life,neutral,使う is the ordinary broad verb for operating or making use of a smartphone. The device is marked with を.,電車の中では音を消してスマホを使う。,I use my smartphone with the sound off on the train.,授業中はスマホを使わないでください。,Please do not use your smartphone during class.,スマホで調べる: use a smartphone as the means of searching / スマホを見る: look at or check the phone,"スマホで使う needs another object: このアプリをスマホで使う. When the phone itself is the object being used, say スマホを使う."
本を閉じる,ほんをとじる,hon o tojiru,to close a book,collocation,Daily Life,neutral,閉じる is the standard transitive verb for bringing the covers or pages of a book together.,読み終わったところで本を閉じた。,I closed the book when I reached the end.,先生の合図で、学生たちは本を閉じた。,"At the teacher's signal, the students closed their books.",本を開く: open a book / 本をしまう: put a book away,"閉める is used for doors, windows, lids, and shops. Use 閉じる for a book, eyes, or an open computer file."
会話を練習する,かいわをれんしゅうする,kaiwa o renshuu suru,to practice conversation,collocation,Daily Life,neutral,The skill or activity being practiced is marked with を before 練習する.,毎朝、先生と日本語の会話を練習している。,"Every morning, I practice Japanese conversation with my teacher.",旅行で使う短い会話を二人で練習した。,The two of us practiced short conversations for the trip.,会話の練習をする: do conversation practice / 話す練習をする: practice speaking,会話に練習する is not the normal particle pattern. Use 会話を練習する or 会話の練習をする.
いい天気,いいてんき,ii tenki,nice weather,collocation,Daily Life,neutral,"いい naturally evaluates 天気 as pleasant or favorable. In careful writing, よい天気 is also possible.",今日はいい天気だから、公園まで歩こう。,"The weather is nice today, so let's walk to the park.",週末もいい天気が続くらしい。,It looks as though the nice weather will continue through the weekend.,晴れた天気: sunny weather / 悪い天気: bad weather,"強い can describe wind, rain, or sunlight, but 強い天気 is not the ordinary way to say 'good weather.'"
仕事に役立つ,しごとにやくだつ,shigoto ni yakudatsu,to be useful for work,collocation,Daily Life,neutral,The area or purpose that benefits is marked with に before 役立つ.,この資格は海外との仕事に役立つ。,This qualification is useful for work with overseas clients.,留学中に学んだことが今の仕事に役立っている。,What I learned while studying abroad is useful in my current job.,仕事で使う: use something at work / 仕事に生かす: apply a skill or experience to work,"Do not mark 仕事 with を. If a person actively puts something to use, use 経験を仕事に役立てる with transitive 役立てる."
応募を締め切る,おうぼをしめきる,oubo o shimekiru,to close applications,collocation,Daily Life,neutral,締め切る marks the point after which submissions or applications are no longer accepted.,定員に達したため、予定より早く応募を締め切った。,Applications closed earlier than planned because all places were filled.,コンテストの応募は金曜日で締め切ります。,Entries for the contest close on Friday.,応募を受け付ける: accept applications / 募集を終了する: end recruitment,締め切る takes the applications or submissions as its object. 締め切り is the corresponding noun meaning deadline.
料理を作る,りょうりをつくる,ryouri o tsukuru,to cook; to make a dish,collocation,Daily Life,neutral,作る is the broad everyday verb for preparing a dish or meal. 料理する focuses more directly on the act of cooking.,冷蔵庫にある野菜で簡単な料理を作った。,I made a simple dish with the vegetables in the refrigerator.,休日は家族のために料理を作る。,"On my days off, I cook for my family.",料理をする: cook as an activity / 食事を用意する: prepare a meal,"建てる is for erecting buildings. Use 作る for food, and use 料理する when the cooking activity itself is the focus."
定休日を確認する,ていきゅうびをかくにんする,teikyuubi o kakunin suru,to check a business's regular closing day,collocation,Daily Life,neutral,確認する takes the information being checked as its direct object with を.,出かける前に店の定休日を確認した。,I checked the shop's regular closing day before going out.,公式サイトで美術館の定休日を確認してください。,Please check the museum's regular closing day on its official website.,営業時間を確認する: check business hours / 臨時休業を確認する: confirm a temporary closure,"定休日に確認する means 'check on the regular closing day.' To check which day it is, mark 定休日 with を."
閉館時間を確認する,へいかんじかんをかくにんする,heikan jikan o kakunin suru,to check the closing time,collocation,Daily Life,neutral,"閉館時間 is the time a facility such as a museum, library, or hall closes. It is checked with を確認する.",展示を見る前に閉館時間を確認しておこう。,Let's check the closing time before viewing the exhibition.,図書館の閉館時間を電話で確認した。,I checked the library's closing time by phone.,開館時間を確認する: check the opening time of a facility / 閉店時間を確認する: check a shop's closing time,Do not use 閉館時間 for every business. Choose 閉店時間 for a store and 終了時間 for an event.
旅行に行く,りょこうにいく,ryokou ni iku,to go on a trip,collocation,Daily Life,neutral,旅行 is the purpose or activity of going and takes に. The destination itself can separately take へ or に.,来月、家族と北海道へ旅行に行く。,"Next month, I'm going on a trip to Hokkaido with my family.",卒業前に友達と旅行に行きたい。,I want to take a trip with my friends before graduation.,旅行する: travel / 出張に行く: go on a business trip,"行く is intransitive, so 旅行 is not marked with を here. Use を with 旅行を計画する or 旅行を楽しむ."
