Japanese,Kana,Romaji,Meaning,Part of speech,Chapter,Register,Usage note,Example 1 (Japanese),Example 1 (English),Example 2 (Japanese),Example 2 (English),Contrast,Misuse note
スマホを使う,つかう,tsukau,I use a smartphone.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,スマホを使う。,I use a smartphone.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
本を閉じてください,とじる,tojiru,Please close your books.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,本を閉じてください。,Please close your books.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
日常の会話を練習する,にちじょう,nichijou,I practice everyday conversation.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,日常の会話を練習する。,I practice everyday conversation.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
今日はいい天気ですね,てんき,tenki,"Nice weather today, isn't it?",collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,今日はいい天気ですね。,"Nice weather today, isn't it?",,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
この本は仕事に役立つ,やくだつ,yakudatsu,This book is useful for work.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,この本は仕事に役立つ。,This book is useful for work.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
応募を今日で締め切る,しめきる,shimekiru,We close applications today.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,応募を今日で締め切る。,We close applications today.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
忙しい日は時短料理を作る,じたんりょうり,jitan ryouri,On busy days I make time-saving meals.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,忙しい日は時短料理を作る。,On busy days I make time-saving meals.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
月曜日が定休日の店だった,ていきゅうび,teikyuubi,It was a shop closed on Mondays.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,月曜日が定休日の店だった。,It was a shop closed on Mondays.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
美術館の閉館時間を確認した,へいかんじかん,heikan jikan,I checked the museum's closing time.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,美術館の閉館時間を確認した。,I checked the museum's closing time.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
一泊二日の弾丸旅行に行った,だんがんりょこう,dangan ryokou,"I went on a whirlwind two-day, one-night trip.",collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,一泊二日の弾丸旅行に行った。,"I went on a whirlwind two-day, one-night trip.",,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
乗り継ぎ時間が短くて焦った,のりつぎじかん,noritsugi jikan,I was in a rush because the layover time was short.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,乗り継ぎ時間が短くて焦った。,I was in a rush because the layover time was short.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
朝礼で今日の予定を共有した,ちょうれい,chourei,We shared today's schedule at the morning meeting.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,朝礼で今日の予定を共有した。,We shared today's schedule at the morning meeting.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
休日はもっぱら読書をして過ごす,もっぱら,moppara,On holidays I spend my time exclusively reading.,collocation,Daily Life,neutral,Draft candidate mined from an existing Kokeniwa example. Confirm the particle and natural range during editorial review.,休日はもっぱら読書をして過ごす。,On holidays I spend my time exclusively reading.,,,,Confirm whether this is a fixed or strongly preferred pairing rather than a freely generated phrase.
